sid,orig_text,post_text
228,MỞ TIẾNG SÓNG BIỂN ĐẾN MƯỜI HAI GIỜ,MỞ TIẾNG SÓNG BIỂN ĐẾN 12 GIỜ
229,MỞ TIẾNG NƯỚC CHẢY TRONG BA TIẾNG,MỞ TIẾNG NƯỚC CHẢY TRONG 3 TIẾNG
230,CÒN BAO NHIÊU NGÀY NỮA ĐẾN NGÀY BA MƯƠI THÁNG TƯ,CÒN BAO NHIÊU NGÀY NỮA ĐẾN NGÀY 30 THÁNG 4
231,TẮT LU TÚT,TẮT LU TÚT
232,MỞ LU TÚT,MỞ LU TÚT
233,MỞ CÔNG TẮC HAI,MỞ CÔNG TẮC HAI
234,MỞ CÔNG TẮC MỘT,MỞ CÔNG TẮC MỘT
235,LẶP LẠI BÀI NÀY BA LẦN,LẶP LẠI BÀI NÀY BA LẦN
236,MỞ BÀI LẠC BA LẦN,MỞ BÀI LẠC BA LẦN
237,KỂ MỘT SỐ QUÁN ĂN NỔI TIẾNG Ở SÀI GÒN,KỂ MỘT SỐ QUÁN ĂN NỔI TIẾNG Ở SÀI GÒN
238,THỜI TIẾT BA NGÀY TIẾP THEO Ở ĐÀ NẴNG,THỜI TIẾT 3 NGÀY TIẾP THEO Ở ĐÀ NẴNG
239,THỜI TIẾT NGÀY BA MƯƠI THÁNG TƯ NĂM HAI KHÔNG HAI HAI Ở SA PA NHƯ THẾ NÀO,THỜI TIẾT NGÀY 30 THÁNG 4 NĂM HAI KHÔNG HAI HAI Ở SA PA NHƯ THẾ NÀO
240,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ
241,ĐẶT BÁO THỨC MƯỜI GIỜ SÁNG CÓ CUỘC HỌP NHÓM,ĐẶT BÁO THỨC 10 GIỜ SÁNG CÓ CUỘC HỌP NHÓM
242,CỨ HAI MƯƠI PHÚT NHẮC TÔI UỐNG NƯỚC,CỨ 20 PHÚT NHẮC TÔI UỐNG NƯỚC
243,MƯỜI PHÚT NỮA NHẮC TÔI TẮT ĐÈN,10 PHÚT NỮA NHẮC TÔI TẮT ĐÈN
244,NHẮC TÔI MƯỜI BỐN GIỜ CHIỀU CÓ CUỘC HỌP,NHẮC TÔI 14 GIỜ CHIỀU CÓ CUỘC HỌP
245,GỌI TÔI DẬY VÀO BẢY GIỜ SÁNG MAI,GỌI TÔI DẬY VÀO 7 GIỜ SÁNG MAI
246,DỪNG BỐT CÁT,DỪNG BỐT CÁT
247,BỐT CÁT ĐANG PHÁT TÊN GÌ,BỐT CÁT ĐANG PHÁT TÊN GÌ
248,MỞ BỐT CÁT,MỞ BỐT CÁT
249,MỞ TO LÊN MỘT NẤC,MỞ TO LÊN MỘT NẤC
250,MỞ RA ĐI Ô TRONG HAI GIỜ,MỞ RA ĐI Ô TRONG 2 GIỜ
251,MỞ TIN CÔ VÍT,MỞ TIN CÔ VÍT
252,MỞ ĐÀI VÊ Ô VÊ,MỞ ĐÀI VÊ Ô VÊ
253,MỞ ÉP EM CHÍN CHÍN CHẤM CHÍN,MỞ ÉP EM 9 CHÍN CHẤM CHÍN
254,MỞ VÊ Ô HẮT,MỞ VÊ Ô HẮT
255,MỞ ÂM THANH TRẮNG ĐẾN MƯỜI GIỜ TỐI,MỞ ÂM THANH TRẮNG ĐẾN 10 GIỜ TỐI
256,MỞ ÂM THANH TRẮNG TRONG HAI TIẾNG,MỞ ÂM THANH TRẮNG TRONG 2 TIẾNG
257,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG,RẰM THÁNG TÁM LÀ NGÀY MẤY DƯƠNG
258,CÒN MẤY NGÀY NỮA ĐẾN MỘT THÁNG TƯ,CÒN MẤY NGÀY NỮA ĐẾN MỘT THÁNG 4
259,NGÀY MỘT THÁNG TƯ DƯƠNG LÀ NGÀY MẤY ÂM,NGÀY MỘT THÁNG 4 DƯƠNG LÀ NGÀY MẤY ÂM
260,NGÀY MỘT THÁNG TƯ TRÙNG THỨ MẤY,NGÀY 1 THÁNG 4 TRÙNG THỨ MẤY
261,ĐỌC TRUYỆN CHO BÉ BA TUỔI,ĐỌC TRUYỆN CHO BÉ 3 TUỔI
262,ĐỌC TRUYỆN CHO TRẺ SÁU TUỔI,ĐỌC TRUYỆN CHO TRẺ 6 TUỔI
263,ĐỌC TRUYỆN CỔ RIM,ĐỌC TRUYỆN CỔ RIM
264,BẬT NHẠC SƠN TÙNG EM TI BI,BẬT NHẠC SƠN TÙNG EM TI BI
265,MỞ BÀI NÀY TRONG MỘT TIẾNG,MỞ BÀI NÀY TRONG 1 TIẾNG
266,MAI CA LÀ NAM HAY NỮ,MAI CA LÀ NAM HAY NỮ
267,MAI CA SINH NĂM MẤY,MAI CA SINH NĂM MẤY
268,TÁC GIẢ ĐÔ RÊ MON LÀ AI,TÁC GIẢ ĐÔ RÊ MON LÀ AI
269,PI CHIA CHO KHÔNG BẰNG MẤY,PI CHIA CHO KHÔNG BẰNG MẤY
270,ÔNG GIÀ NÔ EN QUÊ Ở ĐÂU,ÔNG GIÀ NÔ EN QUÊ Ở ĐÂU
271,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT
272,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT,NƯỚC NÀO Ở CHÂU ÂU CÓ GI ĐI PI CAO NHẤT
273,NHẮC TÔI GỌI ĐIỆN THOẠI CHO BA BA LẦN MỘT TUẦN,NHẮC TÔI GỌI ĐIỆN THOẠI CHO BA 3 LẦN 1 TUẦN
274,NHẮC TÔI XEM RAP VIỆT MÙA BA,NHẮC TÔI XEM RAP VIỆT MÙA 3
275,NHẮC SINH NHẬT BẠN GÁI VÀO HAI MƯƠI THÁNG HAI,NHẮC SINH NHẬT BẠN GÁI VÀO 20 THÁNG 2
276,NHẮC MÌNH LÀM TIỂU LUẬN LÚC HAI MƯƠI MỐT GIỜ MỖI NGÀY,NHẮC MÌNH LÀM TIỂU LUẬN LÚC 21 GIỜ MỖI NGÀY
277,NHẮC TÔI SOẠN ĐỒ ĐI CHƠI VÀO HAI MƯƠI GIỜ TỐI THỨ SÁU,NHẮC TÔI SOẠN ĐỒ ĐI CHƠI VÀO 20 GIỜ TỐI THỨ SÁU
278,NHẮC TAO ĐI NGỦ SAU HAI TIẾNG NỮA,NHẮC TAO ĐI NGỦ SAU 2 TIẾNG NỮA
279,BÁO THỨC TỪ SÁU GIỜ ĐẾN BẢY GIỜ MỖI LẦN CÁCH NHAU MƯỜI LĂM PHÚT,BÁO THỨC TỪ 6 GIỜ ĐẾN BẢY GIỜ MỖI LẦN CÁCH NHAU 15 PHÚT
280,BÁO THỨC LÚC SÁU GIỜ KÉM MƯỜI LĂM,BÁO THỨC LÚC 6 GIỜ KÉM 15
281,NIỆM PHẬT TRONG MỘT GIỜ,NIỆM PHẬT TRONG 1 GIỜ
282,TẮT ĐÀI RA ĐI Ô,TẮT ĐÀI RA ĐI Ô
283,MỞ ĐÀI VÊ Ô VÊ SAU MỘT TIẾNG MƯỜI LĂM PHÚT,MỞ ĐÀI VÊ Ô VÊ SAU 1 TIẾNG 15 PHÚT
284,TIẾNG GIÓ CẤP ĐỘ NĂM,TIẾNG GIÓ CẤP ĐỘ NĂM
285,NÔ EN VÀO THỨ MẤY,NÔ EN VÀO THỨ MẤY
286,NGÀY HAI BA THÁNG MƯỜI ÂM LỊCH LÀ THỨ MẤY,NGÀY 2 BA THÁNG MƯỜI ÂM LỊCH LÀ THỨ MẤY
287,QUỐC KHÁNH HAI KHÔNG HAI HAI ĐƯỢC NGHỈ MẤY NGÀY,QUỐC KHÁNH HAI KHÔNG 22 ĐƯỢC NGHỈ MẤY NGÀY
288,HAI MƯƠI BA THÁNG MƯỜI ÂM LỊCH LÀ NGÀY MẤY DƯƠNG LỊCH,20 BA THÁNG MƯỜI ÂM LỊCH LÀ NGÀY MẤY DƯƠNG LỊCH
289,TẾT KHƠ ME NĂM NAY VÀO NGÀY MẤY DƯƠNG LỊCH,TẾT KHƠ ME NĂM NAY VÀO NGÀY MẤY DƯƠNG LỊCH
290,THÁNG HAI NĂM NAY CÓ NGÀY HAI MƯƠI CHÍN KHÔNG,THÁNG 2 NĂM NAY CÓ NGÀY 20 CHÍN KHÔNG
291,ĐỌC LU TÚT,ĐỌC LU TÚT
292,KỂ CHUYỆN ĐẾN HAI MƯƠI HAI GIỜ KÉM MƯỜI LĂM,KỂ CHUYỆN ĐẾN 22 GIỜ KÉM 15
293,TẮT MÁY LẠNH SAU BỐN GIỜ SÁNG,TẮT MÁY LẠNH SAU 4 GIỜ SÁNG
294,TẮT MỞ ĐÈN LIÊN TỤC NĂM GIÂY,TẮT MỞ ĐÈN LIÊN TỤC NĂM GIÂY
295,RÉT RUN RỒI,RÉT RUN RỒI
296,NỰC QUÁ,NỰC QUÁ
297,MỞ NHẠC THU ÂM TRƯỚC MỘT CHÍN BẢY LĂM,MỞ NHẠC THU ÂM TRƯỚC 1975
298,SÁU GIỜ SÁNG MAI MỞ BÀI CHÀO BUỔI SÁNG,6 GIỜ SÁNG MAI MỞ BÀI CHÀO BUỔI SÁNG
299,MƯỜI LĂM PHÚT NỮA MỞ BÀI TAN TRƯỜNG,15 PHÚT NỮA MỞ BÀI TAN TRƯỜNG
300,MỞ BÀI CÒN THỞ LÀ CÒN GỠ RAP VIỆT MÙA HAI,MỞ BÀI CÒN THỞ LÀ CÒN GỠ RAP VIỆT MÙA HAI
301,MAI CA CÓ,MAI CA CÓ
302,BA TRĂM HAI MƯƠI LĂM CỘNG MƯỜI SÁU TRỪ NĂM MƯƠI CHÍN BẰNG BAO NHIÊU,325 CỘNG 16 TRỪ 59 BẰNG BAO NHIÊU
303,ĐÔ LA LÀ ĐƠN VỊ TIỀN CỦA NƯỚC NÀO,ĐÔ LA LÀ ĐƠN VỊ TIỀN CỦA NƯỚC NÀO
304,ĐỊNH LUẬT NIU TƠN,ĐỊNH LUẬT NIU TƠN
305,CỨ HAI MƯƠI PHÚT NHẮC TUI UỐNG NƯỚC,CỨ 20 PHÚT NHẮC TUI UỐNG NƯỚC
306,BÁO THỨC CHIỀU NAY ĐI SIÊU THỊ LÚC SÁU GIỜ,BÁO THỨC CHIỀU NAY ĐI SIÊU THỊ LÚC 6 GIỜ
307,BÁO THỨC BẢY GIỜ SÁNG MỖI NGÀY ĐI TẬP THỂ DỤC,BÁO THỨC 7 GIỜ SÁNG MỖI NGÀY ĐI TẬP THỂ DỤC
308,NHẮC TÔI NĂM PHÚT NỮA NẤU CƠM,NHẮC TÔI NĂM PHÚT NỮA NẤU CƠM
309,NHẮC TÔI SAU MƯỜI PHÚT,NHẮC TÔI SAU 10 PHÚT
310,BÁO TUI VÀO SÁU GIỜ BA MƯƠI PHÚT MỖI NGÀY,BÁO TUI VÀO 6 GIỜ 30 PHÚT MỖI NGÀY
311,LẶP LẠI BỐT CÁT NÀY ĐẾN TÁM GIỜ TỐI,LẶP LẠI BỐT CÁT NÀY ĐẾN 8 GIỜ TỐI
312,PHÁT KINH PHẬT NÀY MƯỜI LẦN,PHÁT KINH PHẬT NÀY MƯỜI LẦN
313,MỞ BỐT CÁT CHỦ ĐỀ DẠY TRẺ,MỞ BỐT CÁT CHỦ ĐỀ DẠY TRẺ
314,MỞ BỐT CÁT CỦA VẬT VỜ,MỞ BỐT CÁT CỦA VẬT VỜ
315,MỞ BỐT CÁT,MỞ BỐT CÁT
316,DỪNG PHÁT KINH,DỪNG PHÁT KINH
317,MỞ RA ĐI Ô TRONG HAI GIỜ,MỞ RA ĐI Ô TRONG 2 GIỜ
318,MỞ TIN TIẾP THEO,MỞ TIN TIẾP THEO
319,MỞ RA ĐI Ô,MỞ RA ĐI Ô
320,MỞ CHƯƠNG TRÌNH RA ĐI Ô,MỞ CHƯƠNG TRÌNH RA ĐI Ô
321,MỞ RA ĐI Ô ĐÀI TRÀ VINH,MỞ RA ĐI Ô ĐÀI TRÀ VINH
322,MỞ TIẾNG THÁC MỞ TIẾNG THÁC NƯỚC ĐỔ ĐẾN MƯỜI GIỜ TỐI,MỞ TIẾNG THÁC MỞ TIẾNG THÁC NƯỚC ĐỔ ĐẾN 10 GIỜ TỐI
323,MỞ ÂM THANH TRẮNG TRONG MỘT TIẾNG,MỞ ÂM THANH TRẮNG TRONG 1 TIẾNG
324,TẾT HAI KHÔNG HAI BA RƠI VÀO THỨ MẤY,TẾT HAI KHÔNG HAI 3 RƠI VÀO THỨ MẤY
325,CHỈNH ÂM LƯỢNG MỨC BẢY,CHỈNH ÂM LƯỢNG MỨC 7
326,TẮT CHẾ ĐỘ LU TÚT,TẮT CHẾ ĐỘ LU TÚT
327,BẬT LU TÚT,BẬT LU TÚT
328,KỂ CHUYỆN SƠN TINH THỦY TINH BA LẦN,KỂ CHUYỆN SƠN TINH THỦY TINH BA LẦN
329,PHÁT TRUYỆN KINH DỊ ĐẾN MƯỜI MỘT GIỜ TỐI,PHÁT TRUYỆN KINH DỊ ĐẾN 11 GIỜ TỐI
330,ĐỌC MƯỜI TRUYỆN CƯỜI,ĐỌC MƯỜI TRUYỆN CƯỜI
331,KỂ CHUYỆN CỔ TÍCH TRONG BA MƯƠI PHÚT,KỂ CHUYỆN CỔ TÍCH TRONG 30 PHÚT
332,PHÁT BÀI NÀY NĂM LẦN,PHÁT BÀI NÀY NĂM LẦN
333,LẶP LẠI BÀI NÀY TRONG HAI MƯƠI PHÚT,LẶP LẠI BÀI NÀY TRONG 20 PHÚT
334,MỞ NHẠC TRONG BA MƯƠI PHÚT,MỞ NHẠC TRONG 30 PHÚT
335,MỞ NHẠC RÌ MÍT,MỞ NHẠC RÌ MÍT
336,CÔNG THỨC TÍNH CHU VI HÌNH CHỮ NHẬT,CÔNG THỨC TÍNH CHU VI HÌNH CHỮ NHẬT
337,XĂNG HÔM NAY BAO NHIÊU MỘT LÍT,XĂNG HÔM NAY BAO NHIÊU 1 LÍT
338,CÓ NGUY CƠ CHIẾN TRANH THẾ GIỚI THỨ BA KHÔNG,CÓ NGUY CƠ CHIẾN TRANH THẾ GIỚI THỨ BA KHÔNG
339,TÍNH DÙM TÔI MỘT VỚI MỘT LÀ MẤY,TÍNH DÙM TÔI MỘT VỚI MỘT LÀ MẤY
340,MỘT VỚI MỘT LÀ MẤY,MỘT VỚI MỘT LÀ MẤY
341,MỘT CỘNG MỘT BẰNG MẤY,MỘT CỘNG MỘT BẰNG MẤY
342,DIU RAI NA NẰM Ở ĐÂU,DIU RAI NA NẰM Ở ĐÂU
343,AI ĐANG GỌI CHO TUI,AI ĐANG GỌI CHO TUI
344,TIA U VÊ HÔM NAY CAO BAO NHIÊU,TIA U VÊ HÔM NAY CAO BAO NHIÊU
345,QUẬN BA HÔM NAY CÓ NẮNG KHÔNG,QUẬN 3 HÔM NAY CÓ NẮNG KHÔNG
346,NHIỆT ĐỘ NGOÀI TRỜI HIỆN TẠI Ở QUẬN BA,NHIỆT ĐỘ NGOÀI TRỜI HIỆN TẠI Ở QUẬN 3
347,ĐẶT BÁO THỨC TÁM GIỜ ĐI TƯỚI CÂY,ĐẶT BÁO THỨC 8 GIỜ ĐI TƯỚI CÂY
348,LÚC MƯỜI BẢY GIỜ NHẮC TÔI ĐI VỀ,LÚC 17 GIỜ NHẮC TÔI ĐI VỀ
349,NĂM PHÚT NỮA NHẮC TÔI UỐNG THUỐC,NĂM PHÚT NỮA NHẮC TÔI UỐNG THUỐC
350,NHẮC TÔI ĐI LÀM LÚC TÁM GIỜ SÁNG MỖI NGÀY,NHẮC TÔI ĐI LÀM LÚC 8 GIỜ SÁNG MỖI NGÀY
351,NHẮC TÔI SAU BA MƯƠI PHÚT NỮA,NHẮC TÔI SAU 30 PHÚT NỮA
352,MỞ NIỆM PHẬT TRONG BA TIẾNG,MỞ NIỆM PHẬT TRONG 3 TIẾNG
353,MỞ TIN VI EN ẸT RÉT,MỞ TIN VI EN ẸT RÉT
354,MỞ TIN LIÊN QUAN TỔNG THỐNG DIU RAI NA,MỞ TIN LIÊN QUAN TỔNG THỐNG DIU RAI NA
355,BẬT RA ĐI Ô LÀN SÓNG XANH,BẬT RA ĐI Ô LÀN SÓNG XANH
356,MỞ RA ĐI Ô CHÍN CHÍN MÊ GA HÉT,MỞ RA ĐI Ô CHÍN CHÍN MÊ GA HÉT
357,BẬT RA ĐI Ô,BẬT RA ĐI Ô
358,MỞ ÂM THANH TRẮNG TRONG MƯỜI LĂM PHÚT,MỞ ÂM THANH TRẮNG TRONG 15 PHÚT
359,BA MƯƠI THÁNG TƯ NĂM NAY ĐƯỢC NGHỈ MẤY NGÀY,30 THÁNG 4 NĂM NAY ĐƯỢC NGHỈ MẤY NGÀY
360,RẰM THÁNG TÁM NHẰM NGÀY MẤY DƯƠNG LỊCH,RẰM THÁNG TÁM NHẰM NGÀY MẤY DƯƠNG LỊCH
361,BA MƯƠI THÁNG TƯ RƠI VÀO NGÀY MẤY ÂM LỊCH,30 THÁNG 4 RƠI VÀO NGÀY MẤY ÂM LỊCH
362,BA MƯƠI THÁNG TƯ NHẰM THỨ MẤY,30 THÁNG 4 NHẰM THỨ MẤY
363,CÒN MẤY NGÀY NỮA TỚI BA MƯƠI THÁNG TƯ,CÒN MẤY NGÀY NỮA TỚI 30 THÁNG 4
364,BẬT LU TÚT,BẬT LU TÚT
365,ĐỌC CHUYỆN ĂN KHẾ TRẢ VÀNG ĐẾN MƯỜI GIỜ TỐI,ĐỌC CHUYỆN ĂN KHẾ TRẢ VÀNG ĐẾN 10 GIỜ TỐI
366,DỪNG CHUYỆN,DỪNG CHUYỆN
367,ĐỌC MƯỜI CHUYỆN NGỤ NGÔN,ĐỌC MƯỜI CHUYỆN NGỤ NGÔN
368,KỂ CHUYỆN SỰ TÍCH CÂY CHỔI BA LẦN,KỂ CHUYỆN SỰ TÍCH CÂY CHỔI BA LẦN
369,CHUYỂN MÀU ĐÈN SANG CHẾ ĐỘ ĐỌC SÁCH,CHUYỂN MÀU ĐÈN SANG CHẾ ĐỘ ĐỌC SÁCH
370,GIẢM NHIỆT ĐỘ MÁY LẠNH XUỐNG HAI ĐỘ,GIẢM NHIỆT ĐỘ MÁY LẠNH XUỐNG 2 ĐỘ
371,TĂNG ÂM LƯỢNG TI VI PHÒNG KHÁCH,TĂNG ÂM LƯỢNG TI VI PHÒNG KHÁCH
372,HÉ LÔ,HÉ LÔ
373,MỞ BÀI LỐI NHỎ MƯỜI LẦN,MỞ BÀI LỐI NHỎ 10 LẦN
374,GIẢM TỐC ĐỘ PHÁT MỘT LẦN,GIẢM TỐC ĐỘ PHÁT MỘT LẦN
375,TĂNG TỐC ĐỘ PHÁT HAI LẦN,TĂNG TỐC ĐỘ PHÁT 2 LẦN
376,PHÁT LÙI MƯỜI GIÂY,PHÁT LÙI MƯỜI GIÂY
377,PHÁT TỚI MƯỜI GIÂY,PHÁT TỚI 10 GIÂY
378,HÁT BÀI NÀY TRONG BA MƯƠI PHÚT,HÁT BÀI NÀY TRONG 30 PHÚT
379,DỊCH CÂU AI LỚP DU SANG TIẾNG NHẬT,DỊCH CÂU AI LỚP DU SANG TIẾNG NHẬT
380,CHỦNG CÔ VÍT MỚI LÀ CHỦNG GÌ,CHỦNG CÔ VÍT MỚI LÀ CHỦNG GÌ
381,HÀ NỘI ĐANG CÓ BAO NHIÊU CA CÔ VÍT,HÀ NỘI ĐANG CÓ BAO NHIÊU CA CÔ VÍT
382,HIỆN CÓ BAO NHIÊU CA CÔ VÍT,HIỆN CÓ BAO NHIÊU CA CÔ VÍT
383,MỘT HAI BỐN CỘNG HAI BA BỐN BẰNG MẤY,124 CỘNG 23 BỐN BẰNG MẤY
384,MỘT CỘNG MỘT BẰNG MẤY,MỘT CỘNG MỘT BẰNG MẤY
385,BẢY GIỜ TỐI NHẮC TÔI ĐI NGỦ,7 GIỜ TỐI NHẮC TÔI ĐI NGỦ
386,TÁM GIỜ SÁNG NHẮC TÔI ĐI BƠI,8 GIỜ SÁNG NHẮC TÔI ĐI BƠI
387,NHẮC TÔI NGỦ SỚM LÚC HAI GIỜ SÁNG MỖI NGÀY,NHẮC TÔI NGỦ SỚM LÚC 2 GIỜ SÁNG MỖI NGÀY
388,NHẮC TÔI BỆ HẠ VẪN CÒN CƠ HỘI CUỐI CÙNG LÚC TÁM GIỜ HAI MƯƠI SÁNG,NHẮC TÔI BỆ HẠ VẪN CÒN CƠ HỘI CUỐI CÙNG LÚC 8 GIỜ 20 SÁNG
389,NHẮC TÔI BỆ HẠ XIN NGƯỜI TỈNH TÁO LÚC TÁM GIỜ SÁNG,NHẮC TÔI BỆ HẠ XIN NGƯỜI TỈNH TÁO LÚC 8 GIỜ SÁNG
390,NHẮC TÔI BỆ HẠ THỊNH THỨC DẬY LÚC BẢY GIỜ BỐN MƯƠI LĂM SÁNG,NHẮC TÔI BỆ HẠ THỊNH THỨC DẬY LÚC 7 GIỜ 45 SÁNG
391,NHẮC TÔI BỆ HẠ SẼ TRỄ LÀM LÚC BẢY GIỜ BA MƯƠI SÁNG,NHẮC TÔI BỆ HẠ SẼ TRỄ LÀM LÚC 7 GIỜ 30 SÁNG
392,NHẮC TÔI BỆ HẠ ĐÃ TỚI GIỜ LÀM LÚC BẢY GIỜ SÁNG,NHẮC TÔI BỆ HẠ ĐÃ TỚI GIỜ LÀM LÚC 7 GIỜ SÁNG
393,NHẮC TÔI NGỦ LÚC SÁU GIỜ SÁNG,NHẮC TÔI NGỦ LÚC 6 GIỜ SÁNG
394,KÊU TÔI DẬY LÚC BA GIỜ SÁNG,KÊU TÔI DẬY LÚC 3 GIỜ SÁNG
395,TỤNG KINH NI,TỤNG KINH NI
396,CHUYỂN BÓT CÁT KHÁC,CHUYỂN BÓT CÁT KHÁC
397,MỞ BÓT CÁT,MỞ BÓT CÁT
398,MỞ TIN CỦA VÊ Ô VÊ,MỞ TIN CỦA VÊ Ô VÊ
399,MỞ TIN CỦA VÊ Ô HẮT,MỞ TIN CỦA VÊ Ô HẮT
400,MỞ ĐẠI MỘT RA ĐI Ô NÀO ĐÓ,MỞ ĐẠI MỘT RA ĐI Ô NÀO ĐÓ
401,MỞ RA ĐI Ô,MỞ RA ĐI Ô
402,BA MƯƠI THÁNG TƯ LÀ THỨ MẤY,30 THÁNG 4 LÀ THỨ MẤY
403,MỞ LU TÚT,MỞ LU TÚT
404,MỞ TRUYỆN TRƯỚC ĐÓ,MỞ TRUYỆN TRƯỚC ĐÓ
405,MỞ TRUYỆN CỔ TÍCH TRONG BA MƯƠI PHÚT,MỞ TRUYỆN CỔ TÍCH TRONG 30 PHÚT
406,TẮT ĐÈN TO LÉT,TẮT ĐÈN TO LÉT
407,TẮT TI VI,TẮT TI VI
408,CHỈNH MÁY LẠNH HAI MƯƠI SÁU ĐỘ,CHỈNH MÁY LẠNH 26 ĐỘ
409,MỞ BÀI HAI GIỜ SÁNG,MỞ BÀI HAI GIỜ SÁNG
410,MỞ NHẠC TỚI HAI GIỜ SÁNG,MỞ NHẠC TỚI 2 GIỜ SÁNG
411,MỞ NHẠC TRONG HAI TIẾNG,MỞ NHẠC TRONG 2 TIẾNG
412,ĐÁP ÁN CỦA PHÉP TÍNH HAI TRĂM NĂM MƯƠI SÁU CỘNG BẢY MƯƠI TÁM TRỪ BỐN MƯƠI CHÍN LÀ BAO NHIÊU,ĐÁP ÁN CỦA PHÉP TÍNH 256 CỘNG 78 TRỪ 49 LÀ BAO NHIÊU
413,QUẬN BA HÔM NAY CÓ MƯA KHÔNG,QUẬN 3 HÔM NAY CÓ MƯA KHÔNG
414,HÔM NAY Ở QUẬN BA TRỜI CÓ NÓNG KHÔNG,HÔM NAY Ở QUẬN BA TRỜI CÓ NÓNG KHÔNG
415,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ,MỘT TIẾNG NỮA NHẮC TÔI RA KHỎI NHÀ
416,ĐẶT BÁO THỨC MƯỜI GIỜ SÁNG CÓ CUỘC HỌP NHÓM,ĐẶT BÁO THỨC 10 GIỜ SÁNG CÓ CUỘC HỌP NHÓM
417,CỨ HAI MƯƠI PHÚT NHẮC TÔI UỐNG NƯỚC,CỨ 20 PHÚT NHẮC TÔI UỐNG NƯỚC
418,MƯỜI PHÚT NỮA NHẮC TÔI TẮT ĐÈN,10 PHÚT NỮA NHẮC TÔI TẮT ĐÈN
419,NHẮC TÔI MƯỜI BỐN GIỜ CHIỀU CÓ CUỘC HỌP,NHẮC TÔI 14 GIỜ CHIỀU CÓ CUỘC HỌP
420,TÔI CÓ NHỮNG NHẮC NHỞ GÌ,TÔI CÓ NHỮNG NHẮC NHỞ GÌ
421,GỌI TÔI DẬY VÀO BẢY GIỜ SÁNG MAI,GỌI TÔI DẬY VÀO 7 GIỜ SÁNG MAI
422,PHÁT BÓT CÁT ĐẾN MƯỜI GIỜ TỐI,PHÁT BÓT CÁT ĐẾN 10 GIỜ TỐI
423,LẶP LẠI BÓT CÁT NÀY BA LẦN,LẶP LẠI BÓT CÁT NÀY BA LẦN
424,MỞ KINH PHẬT NÀY ĐẾN MƯỜI MỘT GIỜ TỐI,MỞ KINH PHẬT NÀY ĐẾN 11 GIỜ TỐI
425,MỞ BÓT CÁT CỦA QUỐC KHÁNH,MỞ BÓT CÁT CỦA QUỐC KHÁNH
426,MỞ BÓT CÁT GIA ĐÌNH,MỞ BÓT CÁT GIA ĐÌNH
427,MỞ BÓT CÁT,MỞ BÓT CÁT
428,TẮT RA ĐI Ô,TẮT RA ĐI Ô
429,MỞ RA ĐI Ô TRONG MỘT TIẾNG,MỞ RA ĐI Ô TRONG 1 TIẾNG
430,MỞ RA ĐI Ô CHÍN MỐT,MỞ RA ĐI Ô CHÍN 1
431,MỞ VÊ Ô VÊ GIAO THÔNG,MỞ VÊ Ô VÊ GIAO THÔNG
432,PHÁT ÂM THANH TRẮNG TRONG BA MƯƠI PHÚT,PHÁT ÂM THANH TRẮNG TRONG 30 PHÚT
433,TẮT CHẾ ĐỘ LU TÚT,TẮT CHẾ ĐỘ LU TÚT
434,BẬT LU TÚT,BẬT LU TÚT
435,LẶP LẠI CÂU CHUYỆN ĐANG KỂ BA LẦN,LẶP LẠI CÂU CHUYỆN ĐANG KỂ 3 LẦN
436,PHÁT TRUYỆN TRONG BA MƯƠI PHÚT,PHÁT TRUYỆN TRONG 30 PHÚT
437,KỂ CHUYỆN NGỤ NGÔN,KỂ CHUYỆN NGỤ NGÔN
438,KỂ CHUYỆN CỔ TÍCH ĐẾN MƯỜI GIỜ TỐI,KỂ CHUYỆN CỔ TÍCH ĐẾN 10 GIỜ TỐI
439,KỂ MƯỜI TRUYỆN NGỤ NGÔN,KỂ 10 TRUYỆN NGỤ NGÔN
440,KỂ HAI TRUYỆN CỔ TÍCH,KỂ 2 TRUYỆN CỔ TÍCH
441,TĂNG NHIỆT ĐỘ PHÒNG ĐẾN BA MƯƠI ĐỘ,TĂNG NHIỆT ĐỘ PHÒNG ĐẾN 30 ĐỘ
442,GIẢM MÁY LẠNH XUỐNG MỘT ĐỘ,GIẢM MÁY LẠNH XUỐNG 1 ĐỘ
443,TĂNG NHIỆT ĐỘ MÁY LẠNH THÊM HAI ĐỘ,TĂNG NHIỆT ĐỘ MÁY LẠNH THÊM 2 ĐỘ
444,BẬT TI VI,BẬT TI VI
445,PHÁT BÀI HÁT NÀY MƯỜI LẦN,PHÁT BÀI HÁT NÀY MƯỜI LẦN
446,MỞ DANH SÁCH NHẠC ÂU MỸ TRONG BA MƯƠI PHÚT,MỞ DANH SÁCH NHẠC ÂU MỸ TRONG 30 PHÚT
